"","date","day_of_week","is_weekday","location","hour","demand","wind_speed","temperature","activity"
"57","2025-09-01","Monday",1,"cardiff",9,214.92,6.44311252401982,15.5566650000001,0.777732006987944
"58","2025-09-01","Monday",1,"cardiff",10,219.21,6.77236184582367,15.879605,0.273711230566318
"59","2025-09-01","Monday",1,"cardiff",11,206.73,7.03386840537298,16.557825,0.162619663129813
"60","2025-09-01","Monday",1,"cardiff",12,202.6,7.26787483795762,16.6560000000001,0.144325689817829
"61","2025-09-01","Monday",1,"cardiff",13,197.71,6.69445016823308,16.7136800000001,0.213249825072577
"62","2025-09-01","Monday",1,"cardiff",14,188.38,6.39732332227989,16.98434,0.223990902688748
"63","2025-09-01","Monday",1,"cardiff",15,175.89,6.42341763079268,17.1681150000001,0.276442798804472
"64","2025-09-01","Monday",1,"cardiff",16,183.96,6.87568166218021,17.30276,0.279448682073662
"65","2025-09-01","Monday",1,"cardiff",17,200,7.24952116589963,17.1302450000001,0.331473555311245
"66","2025-09-01","Monday",1,"cardiff",18,221.83,7.06532743801462,16.9344150000001,0.714839096091289
"67","2025-09-01","Monday",1,"cardiff",19,222.58,6.26293023232534,16.06439,0.739214823741012
"68","2025-09-01","Monday",1,"cardiff",20,231.74,5.76142656082309,15.23727,0.751171059815394
"69","2025-09-01","Monday",1,"cardiff",21,228.46,5.40145577611741,14.64028,0.552799084460538
"70","2025-09-01","Monday",1,"cardiff",22,213.35,4.90104077938472,14.11831,0.424078638856356
"71","2025-09-01","Monday",1,"cardiff",23,208.98,4.51561439027634,14.14517,0.252227839217916
"72","2025-09-01","Monday",1,"cardiff",24,202.29,4.50757383567651,13.907495,0
"73","2025-09-01","Monday",1,"derby",1,306.71,6.10507093708612,13.6682950000001,0.0833497969498255
"74","2025-09-01","Monday",1,"derby",2,305.45,6.21916090564417,13.46474,0.0312595656273746
"75","2025-09-01","Monday",1,"derby",3,304.95,6.01072668707134,13.066975,0.100169599893129
"76","2025-09-01","Monday",1,"derby",4,293.15,5.81648455559334,13.264245,0.0387479323100659
"77","2025-09-01","Monday",1,"derby",5,293.64,5.76073209614188,13.391015,0.0786286540105746
"78","2025-09-01","Monday",1,"derby",6,313.01,5.8312657285075,13.6773,0.0697752033807313
"79","2025-09-01","Monday",1,"derby",7,358.08,6.09234959887178,13.949305,0.0381419256563538
"80","2025-09-01","Monday",1,"derby",8,405.16,6.47788097505942,14.685815,0.865443976725815
"81","2025-09-01","Monday",1,"derby",9,424.74,8.28578977610586,15.84182,0.777732006987944
"82","2025-09-01","Monday",1,"derby",10,438.41,8.0164656269297,16.668665,0.273711230566318
"83","2025-09-01","Monday",1,"derby",11,444.92,6.61211756708268,17.350795,0.162619663129813
"84","2025-09-01","Monday",1,"derby",12,452.34,6.81437252927751,17.9343250000001,0.144325689817829
"85","2025-09-01","Monday",1,"derby",13,419.19,6.92845886724512,18.40313,0.213249825072577
"86","2025-09-01","Monday",1,"derby",14,431.33,7.22116940395132,18.25094,0.223990902688748
"87","2025-09-01","Monday",1,"derby",15,416.53,6.47583133998194,18.36928,0.276442798804472
"88","2025-09-01","Monday",1,"derby",16,394.67,6.02517524392506,18.0283450000001,0.279448682073662
"89","2025-09-01","Monday",1,"derby",17,423.61,6.13345803598948,18.53161,0.331473555311245
"90","2025-09-01","Monday",1,"derby",18,450.03,4.99414643661589,17.95785,0.714839096091289
"91","2025-09-01","Monday",1,"derby",19,388.93,4.42991855818594,17.13665,0.739214823741012
